LinkID,Time,Speed
5841,929,21.3429
5841,978,6.9488
5841,1024,19.92
5841,1068,19.92
5841,1110,6.098
5841,1151,5.1517
5841,1194,27.1636
5841,1242,27.1636
5841,1293,27.1636
5841,1345,27.1636
5841,1396,27.1636
5842,45,49.8
5842,369,37.35
5842,406,37.35
5842,442,27.1636
5842,477,27.1636
5842,513,27.1636
5842,550,24.9
5842,588,24.9
5842,626,22.9846
5842,664,22.9846
5842,704,22.9846
5842,722,27.1636
5842,745,29.88
5842,788,29.88
5842,839,29.88
5842,886,21.3429
5842,929,21.3429
5842,978,6.9488
5842,1024,19.92
5842,1068,19.92
5842,1110,6.098
5842,1151,5.1517
5842,1194,27.1636
5842,1242,27.1636
5842,1293,27.1636
5842,1345,27.1636
5842,1396,27.1636
5858,45,41.6769
5858,369,20.4453
5858,406,20.4453
5858,442,40.1333
5858,477,40.1333
5858,513,40.1333
5858,550,31.8706
5858,588,31.8706
5858,626,14.0727
5858,664,14.0727
5858,704,14.0727
5858,722,27.7846
5858,745,15.05
5858,788,15.05
5858,839,15.05
5858,886,11.5277
5858,929,11.5277
5858,978,11.5277
5858,1024,10.32
5858,1068,11.1711
5858,1110,11.1711
5858,1151,11.1711
5858,1194,27.7846
5858,1242,27.7846
5858,1293,27.7846
5858,1345,27.7846
5858,1396,27.7846
5859,45,36.313
5859,369,25.3091
5859,406,25.3091
5859,442,18.9818
5859,477,18.9818
5859,513,18.9818
5859,550,24.5647
5859,588,11.136
5859,626,22.573
5859,664,22.573
5859,704,22.573
5859,722,28.8
5859,745,25.3091
5859,788,25.3091
5859,839,25.3091
5859,886,26.9419
5859,929,26.9419
5859,978,26.9419
5859,1024,28.8
5859,1068,28.8
5859,1110,28.8
5859,1151,28.8
5859,1194,28.8
5859,1242,28.8
5859,1293,28.8
5859,1345,28.8
5859,1396,28.8
5860,45,3.6
5860,369,3.6
5860,406,3.6
5860,442,3.6
5860,477,3.6
5860,513,3.6
5860,550,3.6
5860,588,3.6
5860,626,3.6
5860,664,3.6
5860,704,3.6
5860,722,3.6
5860,745,3.6
5860,788,3.6
5860,839,3.6
5860,886,3.6
5860,929,3.6
5860,978,2.1273
5860,1024,3.6
5860,1068,3.6
5860,1110,3.6
5860,1151,3.6
5860,1194,3.6
5860,1242,3.6
5860,1293,3.6
5860,1345,2.0348
5860,1396,3.6
5905,45,2.16
5905,369,36.2571
5905,406,36.2571
5905,442,10.575
5905,477,10.575
5905,513,10.575
5905,550,13.7189
5905,588,13.7189
5905,626,6.8595
5905,664,6.8595
5905,704,6.8595
5905,722,5.8345
5905,745,6.5077
5905,788,2.372
5905,839,2.372
5905,886,4.6145
5905,929,4.6145
5905,978,4.6145
5905,1024,4.6145
5905,1068,2.1785
5905,1110,4.9282
5905,1151,2.1785
5905,1194,5.8345
5905,1242,5.8345
5905,1293,5.8345
5905,1345,2.6031
5905,1396,5.8345
5955,45,54.72
5955,369,45.6
5955,406,45.6
5955,442,34.2
5955,477,34.2
5955,513,34.2
5955,550,34.2
5955,588,34.2
5955,626,39.0857
5955,664,39.0857
5955,704,39.0857
5955,722,54.72
5955,745,30.4
5955,788,30.4
5955,839,30.4
5955,886,34.2
5955,929,34.2
5955,978,34.2
5955,1024,34.2
5955,1068,30.4
5955,1110,30.4
5955,1151,30.4
5955,1194,54.72
5955,1242,54.72
5955,1293,54.72
5955,1345,54.72
5955,1396,54.72
6000,45,22.032
6000,369,25.0364
6000,406,25.0364
6000,442,5.6204
6000,477,5.6204
6000,513,5.6204
6000,550,12.24
6000,588,12.24
6000,626,7.1532
6000,664,7.1532
6000,704,7.1532
6000,722,11.7191
6000,745,12.8093
6000,788,12.8093
6000,839,12.8093
6000,886,12.8093
6000,929,12.8093
6000,978,12.8093
6000,1024,12.8093
6000,1068,11.016
6000,1110,11.016
6000,1151,11.016
6000,1194,11.7191
6000,1242,11.7191
6000,1293,11.7191
